,Days,Susceptible,Asymptomatic,Presymptomatic,MildlyInfected,SeverelyInfected,Recovered,Hospitalized,Dead,NewDeathsPerDay,NewIdentifiedInfections,NewInfections,TestPositivityRate,CaseFatalityRate,Mean(R),Std(R)
0,1.0,99874.0,98.0,16.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
1,2.0,99822.0,97.0,38.0,13.0,1.0,29.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,5.0,5.0
2,3.0,99766.0,110.0,53.0,25.0,1.0,45.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,5.0,5.0
3,4.0,99702.0,111.0,74.0,46.0,2.0,65.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,5.0,5.0
4,5.0,99625.0,133.0,85.0,73.0,4.0,80.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,5.0,5.0
5,6.0,99544.0,137.0,98.0,101.0,3.0,116.0,1.0,0.0,0.0,0.0,66.0,0.0,0.0,5.0,5.0
6,7.0,99458.0,151.0,110.0,129.0,3.0,149.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,5.0,5.0
7,8.0,99358.0,161.0,121.0,170.0,3.0,187.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,5.0,5.0
8,9.0,99243.0,195.0,131.0,206.0,3.0,222.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,5.0,5.0
9,10.0,99105.0,229.0,158.0,236.0,4.0,268.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,205.0,32.0156211871642
10,11.0,98955.0,250.0,173.0,296.0,4.0,322.0,0.0,0.0,0.0,0.0,127.0,0.0,0.0,57.3728694911253,5.9815351323575
11,12.0,98788.0,273.0,194.0,348.0,6.0,391.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,18.2636303141906,1.50635883975396
12,13.0,98624.0,274.0,224.0,391.0,5.0,480.0,2.0,0.0,0.0,0.0,133.0,0.0,0.0,9.9042190675118,0.681834559499091
13,14.0,98438.0,293.0,250.0,445.0,7.0,565.0,2.0,0.0,0.0,0.0,159.0,0.0,0.0,6.36648436056041,0.389622515448024
14,15.0,98251.0,324.0,253.0,503.0,9.0,658.0,2.0,0.0,0.0,0.0,156.0,0.0,0.0,4.9288584102667,0.265746235553074
15,16.0,98000.0,373.0,289.0,582.0,12.0,741.0,3.0,0.0,0.0,40.0,227.0,40.0,0.0,4.08694227277003,0.198013000124243
16,17.0,97672.0,425.0,360.0,667.0,14.0,858.0,4.0,0.0,0.0,51.0,300.0,51.0,0.0,3.17075527787102,0.147357494451228
